,CP,CP_CI_HP,Date,HP,LP,emaCP5,emaCP_CI_HP5,emaCP20,emaCP_CI_HP20,minHP3,avCP_CI_HP50,avCP_CI_HP10
145,11003.05,11003.05,2019-09-09,11028.85,10889.8,10938.093442201887,10938.093442201887,10985.301961416748,10985.301961416748,10920.1,11252.633000000003,10962.055
146,10946.2,10946.2,2019-09-06,10957.05,10867.45,10905.61516330283,10905.61516330283,10983.433746829038,10983.433746829038,10858.75,11269.523000000003,10944.685000000001
147,10847.9,10847.9,2019-09-05,10920.1,10816.0,10885.322744954243,10885.322744954243,10987.353088600516,10987.353088600516,10858.75,11286.528000000002,10924.2
148,10844.65,10844.65,2019-09-04,10858.75,10746.35,10904.034117431363,10904.034117431363,11002.03236108478,11002.03236108478,10858.75,11303.563000000002,10931.280000000002
149,10797.9,10797.9,2019-09-03,10967.5,10772.7,10933.726176147044,10933.726176147044,11018.598925409495,11018.598925409495,10967.5,11321.152000000002,10948.515000000003
150,11023.25,11023.25,2019-08-30,11042.6,10874.8,11001.639264220565,11001.639264220565,11041.830391242072,11041.830391242072,11021.1,11341.829000000002,10974.115000000002
151,10948.3,10948.3,2019-08-29,11021.1,10922.4,10990.833896330847,10990.833896330847,11043.786221899132,11043.786221899132,11021.1,11355.193000000001,10976.570000000003
152,11046.1,11046.1,2019-08-28,11129.65,10987.65,11012.10084449627,11012.10084449627,11053.837403151674,11053.837403151674,11070.3,11370.056999999999,10984.680000000002
153,11105.35,11105.35,2019-08-27,11141.75,11049.5,10995.101266744405,10995.101266744405,11054.651866641325,11054.651866641325,10862.55,11382.578000000001,10972.655000000002
154,11057.85,11057.85,2019-08-26,11070.3,10756.55,10939.976900116606,10939.976900116606,11049.315221024623,11049.315221024623,10862.55,11396.937000000002,10973.085000000001
155,10829.35,10829.35,2019-08-23,10862.55,10637.15,10881.040350174908,10881.040350174908,11048.416823237741,11048.416823237741,10862.55,11414.061000000003,10970.545
156,10741.35,10741.35,2019-08-22,10908.25,10718.3,10906.885525262362,10906.885525262362,11071.476488841714,11071.476488841714,10908.25,11435.598000000004,10973.16
157,10918.7,10918.7,2019-08-21,11034.2,10906.65,10989.65328789354,10989.65328789354,11106.226645561894,11106.226645561894,11034.2,11460.083000000002,10993.849999999999
158,11017.0,11017.0,2019-08-20,11076.3,10985.3,11025.129931840307,11025.129931840307,11125.966292463145,11125.966292463145,11068.65,11480.163000000002,10988.24
159,11053.9,11053.9,2019-08-19,11146.9,11037.85,11029.19489776046,11029.19489776046,11137.436428511897,11137.436428511897,11068.65,11497.236000000003,10986.275
160,11047.8,11047.8,2019-08-16,11068.65,10924.3,11016.84234664069,11016.84234664069,11146.229736776308,11146.229736776308,11068.65,11513.033000000003,10978.885
161,11029.4,11029.4,2019-08-14,11078.15,10935.6,11001.363519961033,11001.363519961033,11156.59076170013,11156.59076170013,11078.15,11532.510000000002,10985.905
162,10925.85,10925.85,2019-08-13,11145.9,10901.6,10987.34527994155,10987.34527994155,11169.979262931723,11169.979262931723,11058.05,11553.693000000003,10991.505000000001
163,11109.65,11109.65,2019-08-09,11181.45,11062.8,11018.092919912324,11018.092919912324,11195.67708008243,11195.67708008243,10975.65,11573.632000000005,11017.84
164,11032.45,11032.45,2019-08-08,11058.05,10842.95,10972.314379868487,10972.314379868487,11204.73256219637,11204.73256219637,10975.65,11590.357000000004,11035.305
165,10855.5,10855.5,2019-08-07,10975.65,10835.9,10942.24656980273,10942.24656980273,11222.867568743355,11222.867568743355,10895.8,11606.930000000004,11057.275
166,10948.25,10948.25,2019-08-06,11018.55,10813.8,10985.619854704093,10985.619854704093,11261.537839137392,11261.537839137392,10895.8,11628.395000000004,11098.855
167,10862.6,10862.6,2019-08-05,10895.8,10782.6,11004.304782056139,11004.304782056139,11294.515506415013,11294.515506415013,10895.8,11647.925000000005,11137.135
168,10997.35,10997.35,2019-08-02,11080.15,10848.95,11075.157173084206,11075.157173084206,11339.980296563963,11339.980296563963,11076.75,11667.555000000004,11185.494999999999
